"Time (s)","Pressure (hPa)"
1.171184968E2,1.017914795E3
1.172184968E2,1.017910889E3
1.173184968E2,1.017915039E3
1.174184968E2,1.017913574E3
1.175184968E2,1.017902588E3
1.176184968E2,1.017902588E3
1.177184968E2,1.017887939E3
1.178184968E2,1.017916016E3
1.179184968E2,1.017916016E3
1.180184968E2,1.017932129E3
1.181184968E2,1.017933350E3
1.182184968E2,1.017933350E3
1.183184968E2,1.017955566E3
1.184184968E2,1.017937500E3
1.185184968E2,1.017937500E3
1.186184968E2,1.017919189E3
1.187184968E2,1.017923828E3
1.188184968E2,1.017923828E3
1.189184968E2,1.017891113E3
1.190184968E2,1.017880127E3
1.191184968E2,1.017880127E3
1.192184968E2,1.017907715E3
1.193184968E2,1.017885254E3
1.194184968E2,1.017885254E3
1.195184968E2,1.017887939E3
1.196184968E2,1.017908691E3
1.197184968E2,1.017927734E3
1.198184968E2,1.017941650E3
1.199184968E2,1.017926514E3
1.200184968E2,1.017934326E3
1.201184968E2,1.017947998E3
1.202184968E2,1.017929443E3
1.203184968E2,1.017922119E3
1.204184968E2,1.017910889E3
1.205184968E2,1.017910400E3
1.206184968E2,1.017916504E3
1.207184968E2,1.017915039E3
1.208184968E2,1.017923828E3
1.209184968E2,1.017907959E3
1.210184968E2,1.017899170E3
1.211184968E2,1.017892822E3
1.212184968E2,1.017876221E3
1.213184968E2,1.017862793E3
1.214184968E2,1.017820312E3
1.215184968E2,1.017825684E3
1.216184968E2,1.017806885E3
1.217184968E2,1.017824951E3
1.218184968E2,1.017809082E3
1.219184968E2,1.017801758E3
1.220184968E2,1.017800049E3
1.221184968E2,1.017785156E3
1.222184968E2,1.017772705E3
1.223184968E2,1.017754883E3
1.224184968E2,1.017746338E3
1.225184968E2,1.017738037E3
1.226184968E2,1.017722900E3
1.227184968E2,1.017724121E3
1.228184968E2,1.017716553E3
1.229184968E2,1.017708008E3
1.230184968E2,1.017708008E3
1.231184968E2,1.017708252E3
1.232184968E2,1.017721191E3
1.233184968E2,1.017721191E3
1.234184968E2,1.017729492E3
1.235184968E2,1.017732422E3
1.236184968E2,1.017732422E3
1.237184968E2,1.017729004E3
1.238184968E2,1.017749023E3
1.239184968E2,1.017749023E3
1.240184968E2,1.017770508E3
1.241184968E2,1.017777832E3
1.242184968E2,1.017777832E3
1.243184968E2,1.017755371E3
1.244184968E2,1.017763916E3
1.245184968E2,1.017763916E3
1.246184968E2,1.017743896E3
1.247184968E2,1.017732666E3
1.248184968E2,1.017738525E3
1.249184968E2,1.017753906E3
1.250184968E2,1.017771484E3
1.251184968E2,1.017761963E3
1.252184968E2,1.017754639E3
1.253184968E2,1.017764404E3
1.254184968E2,1.017766357E3
1.255184968E2,1.017762939E3
1.256184968E2,1.017740723E3
1.257184968E2,1.017745605E3
1.258184968E2,1.017730713E3
1.259184968E2,1.017744873E3
1.260184968E2,1.017744873E3
1.261184968E2,1.017747559E3
1.262184968E2,1.017754395E3
1.263184968E2,1.017753906E3
1.264184968E2,1.017735840E3
1.265184968E2,1.017765625E3
1.266184968E2,1.017748535E3
1.267184968E2,1.017738281E3
1.268184968E2,1.017740479E3
1.269184968E2,1.017742920E3
1.270184968E2,1.017740479E3
1.271184968E2,1.017748535E3
1.272184968E2,1.017753418E3
1.273184968E2,1.017735352E3
1.274184968E2,1.017740723E3
1.275184968E2,1.017760498E3
1.276184968E2,1.017761963E3
