"Time (s)","Pressure (hPa)"
6.871536364E1,1.017868896E3
6.881536364E1,1.017850098E3
6.891536364E1,1.017839355E3
6.901536364E1,1.017812256E3
6.911536364E1,1.017788086E3
6.921536364E1,1.017799805E3
6.931536364E1,1.017799805E3
6.941536364E1,1.017775391E3
6.951536364E1,1.017780273E3
6.961536364E1,1.017780273E3
6.971536338E1,1.017778076E3
6.981536338E1,1.017755371E3
6.991536308E1,1.017755371E3
7.001536308E1,1.017758057E3
7.011536308E1,1.017771729E3
7.021536308E1,1.017771729E3
7.031536308E1,1.017751953E3
7.041536308E1,1.017759277E3
7.051536308E1,1.017759277E3
7.061536308E1,1.017776123E3
7.071536308E1,1.017784424E3
7.081536308E1,1.017784424E3
7.091536308E1,1.017802979E3
7.101536308E1,1.017812744E3
7.111536308E1,1.017812744E3
7.121536308E1,1.017797852E3
7.131536308E1,1.017788330E3
7.141536308E1,1.017819092E3
7.151536308E1,1.017821045E3
7.161536308E1,1.017808594E3
7.171536308E1,1.017777344E3
7.181536308E1,1.017788574E3
7.191536308E1,1.017800049E3
7.201536308E1,1.017801270E3
7.211536308E1,1.017800781E3
7.221536308E1,1.017765869E3
7.231536308E1,1.017785400E3
7.241536334E1,1.017778076E3
7.251536334E1,1.017772949E3
7.261536334E1,1.017758789E3
7.271536334E1,1.017764893E3
7.281536334E1,1.017762451E3
7.291536334E1,1.017767822E3
7.301536334E1,1.017728760E3
7.311536334E1,1.017696289E3
7.321536334E1,1.017706299E3
7.331536334E1,1.017731934E3
7.341536334E1,1.017732422E3
7.351536334E1,1.017720947E3
7.361536334E1,1.017755615E3
7.371536334E1,1.017786377E3
7.381536334E1,1.017804688E3
7.391536334E1,1.017783936E3
7.401536334E1,1.017793213E3
7.411536334E1,1.017840576E3
7.421536334E1,1.017850342E3
7.431536334E1,1.017828857E3
7.441536334E1,1.017828857E3
7.451536334E1,1.017791260E3
7.461536334E1,1.017768066E3
7.471536334E1,1.017768066E3
7.481536334E1,1.017761963E3
7.491536334E1,1.017809570E3
7.501536334E1,1.017809570E3
7.511536334E1,1.017814209E3
7.521536334E1,1.017805908E3
7.531536334E1,1.017805908E3
7.541536334E1,1.017779053E3
7.551536334E1,1.017774414E3
7.561536334E1,1.017774414E3
7.571536334E1,1.017772461E3
7.581536334E1,1.017788330E3
7.591536334E1,1.017788330E3
7.601536334E1,1.017782471E3
7.611536334E1,1.017757080E3
7.621536334E1,1.017757080E3
7.631536334E1,1.017755859E3
7.641536334E1,1.017770996E3
7.651536334E1,1.017764404E3
7.661536334E1,1.017739990E3
7.671536334E1,1.017751953E3
7.681536334E1,1.017766602E3
7.691536334E1,1.017801270E3
7.701536334E1,1.017778320E3
7.711536334E1,1.017758789E3
7.721536334E1,1.017745361E3
7.731536334E1,1.017763916E3
7.741536334E1,1.017783691E3
7.751536334E1,1.017794678E3
7.761536334E1,1.017805664E3
7.771536334E1,1.017791504E3
7.781536334E1,1.017782715E3
7.791536334E1,1.017802734E3
7.801536334E1,1.017777100E3
7.811536334E1,1.017746582E3
7.821536334E1,1.017730225E3
7.831536334E1,1.017750732E3
7.841536308E1,1.017733887E3
7.851536308E1,1.017739258E3
7.861536308E1,1.017746826E3
7.871536308E1,1.017783203E3
7.881536308E1,1.017801025E3
7.891536308E1,1.017808594E3
7.901536308E1,1.017812744E3
7.911536308E1,1.017791748E3
7.921536308E1,1.017796143E3
7.931536308E1,1.017791016E3
7.941536308E1,1.017796143E3
7.951536308E1,1.017796143E3
7.961536308E1,1.017795898E3
7.971536308E1,1.017789795E3
7.981536308E1,1.017789795E3
7.991536408E1,1.017782715E3
8.001533074E1,1.017792725E3
8.011529741E1,1.017792725E3
8.021526407E1,1.017761230E3
